Location,Date,Median Household Income
Fairfax County,2000,91526
Fairfax County,2001,94272
Fairfax County,2002,97100
Fairfax County,2003,100013
Fairfax County,2004,102514
Fairfax County,2005,103989
Fairfax County,2006,104878
Fairfax County,2007,105943
Fairfax County,2008,107062
Fairfax County,2009,107684
Fairfax County,2010,108139
Fairfax County,2011,108439
Fairfax County,2012,109383
Fairfax County,2013,110292
Fairfax County,2014,112102
Fairfax County,2015,112552
Fairfax County,2016,114329
Fairfax County,2017,117515
Fairfax County,2018,121133
Fairfax County,2019,124831
Fairfax County,2020,127866
Fairfax County,2021,133974
Fairfax County,2022,145165
Fairfax County,2023,150113
