Location,Year,Population
Fairfax County,2000,975476
Fairfax County,2001,991564
Fairfax County,2002,998613
Fairfax County,2003,1003070
Fairfax County,2004,1010938
Fairfax County,2005,1019490
Fairfax County,2006,1018981
Fairfax County,2007,1027727
Fairfax County,2008,1044178
Fairfax County,2009,1065142
Fairfax County,2010,1086165
Fairfax County,2011,1103571
Fairfax County,2012,1120654
Fairfax County,2013,1132186
Fairfax County,2014,1136794
Fairfax County,2015,1141040
Fairfax County,2016,1144957
Fairfax County,2017,1149346
Fairfax County,2018,1149688
Fairfax County,2019,1152359
Fairfax County,2020,1150847
Fairfax County,2021,1139720
Fairfax County,2022,1139309
Fairfax County,2023,1141878
