Location,Date,AQI
Fairfax County,2000,64.26
Fairfax County,2001,63.89
Fairfax County,2002,62.45
Fairfax County,2003,54.12
Fairfax County,2004,57.31
Fairfax County,2005,54.84
Fairfax County,2006,51.73
Fairfax County,2007,47.69
Fairfax County,2008,43.4
Fairfax County,2009,41.25
Fairfax County,2010,43.85
Fairfax County,2011,42.24
Fairfax County,2012,46.85
Fairfax County,2013,41.42
Fairfax County,2014,40.53
Fairfax County,2015,44.28
Fairfax County,2016,44.27
Fairfax County,2017,44.53
Fairfax County,2018,44.03
Fairfax County,2019,45.13
Fairfax County,2020,40.71
Fairfax County,2021,43.24
Fairfax County,2022,38.72
Fairfax County,2023,41.85
