Location,Year,AQI
"Prince George's County, MD",2000,50.2103825136612
"Prince George's County, MD",2001,54.43698630136986
"Prince George's County, MD",2002,57.673972602739724
"Prince George's County, MD",2003,47.33698630136986
"Prince George's County, MD",2004,47.43852459016394
"Prince George's County, MD",2005,52.57945205479452
"Prince George's County, MD",2006,53.652054794520545
"Prince George's County, MD",2007,56.36986301369863
"Prince George's County, MD",2008,51.44535519125683
"Prince George's County, MD",2009,48.33972602739726
"Prince George's County, MD",2010,57.912328767123284
"Prince George's County, MD",2011,54.3027397260274
"Prince George's County, MD",2012,54.81967213114754
"Prince George's County, MD",2013,47.64383561643836
"Prince George's County, MD",2014,47.38356164383562
"Prince George's County, MD",2015,51.602739726027394
"Prince George's County, MD",2016,47.01092896174863
"Prince George's County, MD",2017,44.035616438356165
"Prince George's County, MD",2018,43.95068493150685
"Prince George's County, MD",2019,45.4027397260274
"Prince George's County, MD",2020,38.27322404371585
"Prince George's County, MD",2021,42.35068493150685
"Prince George's County, MD",2022,35.73013698630137
"Prince George's County, MD",2023,33.53333333333333
